,Fully Connected (Shallow),Fully Connected (Deep),Convolutional,Hybrid
train_loss,"[0.04722718521952629, 0.02800717204809189, 0.026237856596708298, 0.02576349303126335, 0.025529708713293076, 0.02540012076497078, 0.025324171409010887, 0.025274910032749176, 0.02523138001561165, 0.025204520672559738, 0.02518201619386673, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.06401919573545456, 0.05007485672831535, 0.04450318589806557, 0.04272976890206337, 0.041879020631313324, 0.04116365686058998, 0.040703997015953064, 0.0404868945479393, 0.040274158120155334, 0.04009001702070236, 0.03989288583397865, 0.03975962474942207, 0.03963295742869377, 0.03933833912014961, 0.038975078612565994, 0.03834057226777077, 0.038174621760845184, 0.0380735881626606, 0.037974558770656586, 0.03792562708258629, 0.03786502778530121, 0.03780985623598099, 0.03776456415653229, 0.037726812064647675, 0.03769125044345856, 0.03766115754842758, 0.03760529309511185, 0.03756658360362053, 0.03753114119172096, 0.03750156611204147]","[0.03574291616678238, 0.0027443666476756334, 0.0018262150697410107, 0.0014481451362371445, 0.001250618603080511, 0.0011207875795662403, 0.0010287854820489883, 0.0009563976782374084, 0.0008962142746895552, 0.000842173642013222, 0.00080186000559479, 0.0007681756978854537, 0.0007400612230412662, 0.000714362075086683, 0.0006908831419423223, 0.0006693851901218295, 0.000650281086564064, 0.0006326402071863413, 0.0006164010846987367, 0.0006015670951455832, 0.0005875339265912771, 0.0005745547241531312, 0.0005614642868749797, 0.000550692668184638, 0.0005391949089244008, 0.0005291863926686347, 0.0005193721153773367, 0.0005097224493511021, 0.0005010966560803354, 0.0004917714977636933]","[0.060521095991134644, 0.017150571569800377, 0.007859633304178715, 0.0059799556620419025, 0.0051228743977844715, 0.00462373299524188, 0.004293994512408972, 0.004042802844196558, 0.0038485119584947824, 0.003691311227157712, 0.0035603547003120184, 0.003455693367868662, 0.0033651539124548435, 0.0032812312711030245, 0.0032107357401400805, 0.0031513527501374483, 0.003095621708780527, 0.0030330787412822247, 0.002993882866576314, 0.0029567047022283077, 0.0029167698230594397, 0.0028789283242076635, 0.00284993345849216, 0.0028236559592187405, 0.00278980890288949, 0.0027727200649678707, 0.0027482889126986265, 0.0027298545464873314, 0.002701226621866226, 0.002692359732463956]"
val_loss,"[0.030774569138884544, 0.026783842593431473, 0.02611393667757511, 0.025781096890568733, 0.025585012510418892, 0.025491783395409584, 0.025479571893811226, 0.025458253920078278, 0.025374166667461395, 0.025400089100003242, 0.025440312922000885, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.05444366857409477, 0.046323277056217194, 0.043258655816316605, 0.04229285940527916, 0.04163697361946106, 0.04090752825140953, 0.04068093001842499, 0.04051222279667854, 0.0402771532535553, 0.04012981057167053, 0.039967361837625504, 0.0398564375936985, 0.03961235657334328, 0.039423804730176926, 0.03862637281417847, 0.03836866468191147, 0.038309093564748764, 0.03818117827177048, 0.038138411939144135, 0.0380072258412838, 0.03799671679735184, 0.037978969514369965, 0.03792447969317436, 0.03790333494544029, 0.03785966336727142, 0.0378200002014637, 0.037803877145051956, 0.037728581577539444, 0.03772428259253502, 0.03766695782542229]","[0.0036512562073767185, 0.002152543980628252, 0.0015962007455527782, 0.0013406259240582585, 0.0011884422274306417, 0.0010759553406387568, 0.0009947686921805143, 0.0009303714032284915, 0.0008701534243300557, 0.0008236778667196631, 0.000786940916441381, 0.0007570494199171662, 0.0007329013897106051, 0.000704976380802691, 0.0006822065333835781, 0.0006666673580184579, 0.0006440095021389425, 0.0006277571083046496, 0.000617297540884465, 0.0005987259792163968, 0.0005847957800142467, 0.0005703828064724803, 0.0005592526867985725, 0.0005472240736708045, 0.0005386279663071036, 0.0005355396424420178, 0.0005167905474081635, 0.0005085356533527374, 0.0005002152174711227, 0.000490419624838978]","[0.032731059938669205, 0.009802722372114658, 0.006707411725074053, 0.005587191320955753, 0.004936256445944309, 0.004561351612210274, 0.004251604899764061, 0.004077308811247349, 0.003873934969305992, 0.0037436652928590775, 0.003630684223026037, 0.0035495657939463854, 0.003430969314649701, 0.0033600458409637213, 0.0032831754069775343, 0.003210219321772456, 0.003174932673573494, 0.0031282762065529823, 0.0030799396336078644, 0.003069330006837845, 0.0029940996319055557, 0.002979850862175226, 0.0029782764613628387, 0.0029475975316017866, 0.0028993706218898296, 0.0028916397131979465, 0.002860911889001727, 0.002837005304172635, 0.0028665284626185894, 0.002832716563716531]"
