,Fully Connected (Shallow),Fully Connected (Deep),Convolutional,Hybrid
train_loss,"[0.05454022064805031, 0.034075021743774414, 0.03170027583837509, 0.03067445196211338, 0.030342744663357735, 0.03015950880944729, 0.030058128759264946, 0.02997909113764763, 0.02991536632180214, 0.02985454350709915, 0.029837854206562042, 0.02977878227829933, 0.02974182553589344, 0.0295216366648674, 0.029466796666383743, 0.029408439993858337, 0.029387731105089188, 0.02937157452106476, 0.02933632582426071, 0.02930961363017559, 0.02930258959531784, 0.029286783188581467, 0.029260536655783653, 0.029249167069792747, 0.029243841767311096, 0.029225682839751244, 0.029201185330748558, 0.02921007014811039, None, None]","[0.06919435411691666, 0.05215762183070183, 0.04907136783003807, 0.04548182338476181, 0.04289810359477997, 0.04173123463988304, 0.041019994765520096, 0.04053196683526039, 0.04019995778799057, 0.039903923869132996, 0.03972824290394783, 0.039604898542165756, 0.03951619938015938, 0.03941050544381142, 0.039331916719675064, 0.039249103516340256, 0.03916855528950691, 0.039129674434661865, 0.0390542671084404, None, None, None, None, None, None, None, None, None, None, None]","[0.03519877418875694, 0.004259192384779453, 0.003096935572102666, 0.0026086282450705767, 0.002337035024538636, 0.002147670602425933, 0.0019951884169131517, 0.00187909125816077, 0.0017825330141931772, 0.0016867200611159205, 0.0015871284995228052, 0.0014961562119424343, 0.0014196359552443027, 0.0013552161399275064, 0.0013069602428004146, 0.0012663827510550618, 0.0012283292599022388, 0.0011965641751885414, 0.0011666727950796485, 0.0011409956496208906, 0.0011149069759994745, 0.001099216053262353, 0.0010727979242801666, 0.001053927931934595, 0.0010365991620346904, 0.001021003583446145, 0.001004971913062036, 0.0009921614546328783, 0.0009776060469448566, 0.0009646108373999596]","[0.06358417123556137, 0.018614131957292557, 0.011394094675779343, 0.009355459362268448, 0.008233661763370037, 0.007440400775521994, 0.006913168355822563, 0.006546691991388798, 0.006248075980693102, 0.005995154846459627, 0.005815986543893814, 0.005647065583616495, 0.005495584104210138, 0.005387750454246998, 0.005272893235087395, 0.005170396063476801, 0.005113234277814627, 0.0050264885649085045, 0.004960664547979832, 0.004900641273707151, 0.004855959676206112, 0.004808448255062103, 0.004746919963508844, 0.004708175081759691, 0.004663072060793638, 0.004626021254807711, 0.00459112785756588, 0.004546490032225847, 0.004512644838541746, 0.004478547256439924]"
val_loss,"[0.037431612610816956, 0.032489243894815445, 0.03109852969646454, 0.030565528199076653, 0.0303681418299675, 0.030235910788178444, 0.030125418677926064, 0.03005950152873993, 0.030091559514403343, 0.030014727264642715, 0.029964594170451164, 0.029926273971796036, 0.02981901727616787, 0.029661517590284348, 0.029560282826423645, 0.029581893235445023, 0.029550760984420776, 0.029527917504310608, 0.029472598806023598, 0.02946298196911812, 0.029570361599326134, 0.029453666880726814, 0.029461877420544624, 0.029441379010677338, 0.029448678717017174, 0.02934061549603939, 0.029400348663330078, 0.02937989868223667, None, None]","[0.05374018847942352, 0.05072932690382004, 0.04710861295461655, 0.04391886666417122, 0.04233703389763832, 0.04136408865451813, 0.040874067693948746, 0.04042089357972145, 0.04019710421562195, 0.03999543562531471, 0.03981004282832146, 0.03975066915154457, 0.03969649225473404, 0.039508670568466187, 0.039404381066560745, 0.03937453031539917, 0.039289601147174835, 0.039305876940488815, 0.03935250639915466, None, None, None, None, None, None, None, None, None, None, None]","[0.005342765711247921, 0.0034955258015543222, 0.002806604839861393, 0.0024489935021847486, 0.0022880523465573788, 0.0020804149098694324, 0.001925181713886559, 0.001835885108448565, 0.0017392921727150679, 0.0016361270099878311, 0.0015314026968553662, 0.0014481147518381476, 0.0013763851020485163, 0.0013214522041380405, 0.0012772027403116226, 0.0012469267239794135, 0.001204142114147544, 0.0011782704386860132, 0.0011506525333970785, 0.0011197624262422323, 0.0011039840755984187, 0.0010786486091092229, 0.0010602022521197796, 0.0010392316617071629, 0.0010456026066094637, 0.001008606981486082, 0.000992368906736374, 0.0009916804265230894, 0.0009756828658282757, 0.0009536634315736592]","[0.03137347102165222, 0.013227909803390503, 0.010253457352519035, 0.008800393901765347, 0.007809071335941553, 0.007221569307148457, 0.0067787556909024715, 0.006505172699689865, 0.0061982120387256145, 0.006237552501261234, 0.00583726167678833, 0.005655820015817881, 0.005555341951549053, 0.005467482842504978, 0.00530940992757678, 0.0052470192313194275, 0.005180333275347948, 0.005135194398462772, 0.005064358003437519, 0.0050186822190880775, 0.004976162686944008, 0.00490552419796586, 0.004828739445656538, 0.004857472609728575, 0.004793084692209959, 0.004714973736554384, 0.004702271893620491, 0.004664017353206873, 0.004583620931953192, 0.004699929617345333]"
