,Fully Connected (Shallow),Fully Connected (Deep),Convolutional,Hybrid
Num Params,25888.0,26168.0,4529.0,229063.0
Average Precision,0.5723760944064906,0.2680294860141809,0.9703272004589172,0.9451994774756652
AUC ROC,0.8415967283950617,0.625696487654321,0.9951816111111111,0.9915501666666668
F1,0.5122479586735543,0.252,0.9043333333333333,0.8635227462089652
