,Fully Connected (Shallow),Fully Connected (Deep),Convolutional,Hybrid
train_loss,"[0.047417499125003815, 0.028128348290920258, 0.026464199647307396, 0.026024844497442245, 0.02575262263417244, 0.025601878762245178, 0.025481287389993668, 0.025419048964977264, 0.025373393669724464, 0.025329435244202614, 0.025315061211586, 0.025296201929450035, 0.025283072143793106, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.06445874273777008, 0.050271738320589066, 0.046659789979457855, 0.045535970479249954, 0.04428919777274132, 0.042001623660326004, 0.0411706380546093, 0.040792085230350494, 0.04056188836693764, 0.04020930826663971, 0.039916813373565674, 0.039832744747400284, 0.039724331349134445, 0.039538681507110596, 0.039296798408031464, 0.03894583508372307, 0.038696806877851486, 0.03842682018876076, 0.03815208747982979, 0.03802824020385742, 0.03792977333068848, 0.03785917907953262, 0.03779478371143341, 0.03769351914525032, 0.037613194435834885, 0.037557512521743774, 0.03747696429491043, 0.03742232918739319, 0.03716621920466423, 0.0371118001639843]","[0.03575722128152847, 0.002835966646671295, 0.001928407233208418, 0.0015443431911990047, 0.0013220306718721986, 0.001183510641567409, 0.001080351765267551, 0.001002707751467824, 0.0009434421663172543, 0.0008950759074650705, 0.0008565241587348282, 0.0008237711153924465, 0.0007965967524796724, 0.0007701034191995859, 0.0007470622658729553, 0.0007255277596414089, 0.0007065500831231475, 0.0006902660243213177, 0.0006743977428413928, 0.0006588577525690198, 0.000644742336589843, 0.000631326693110168, 0.0006187455728650093, 0.0006047871429473162, 0.0005926857120357454, 0.0005815245094709098, 0.000570337928365916, 0.0005601250450126827, 0.0005502778803929687, 0.0005414204788394272]","[0.06103907898068428, 0.017918558791279793, 0.008213721215724945, 0.006190392188727856, 0.00529596209526062, 0.004777980502694845, 0.004423793405294418, 0.004167908802628517, 0.003967694938182831, 0.003803202649578452, 0.003680079709738493, 0.003564276732504368, 0.0034740131814032793, 0.003403968643397093, 0.0033298467751592398, 0.00326996436342597, 0.0032220894936472178, 0.0031703002750873566, 0.003125579096376896, 0.003090325742959976, 0.0030440501868724823, 0.003016322385519743, 0.002985343337059021, 0.002941674552857876, 0.0029273899272084236, 0.0028948327526450157, 0.0028795087710022926, 0.002845117123797536, 0.002840062603354454, None]"
val_loss,"[0.03090801276266575, 0.027002017945051193, 0.026286093518137932, 0.025987036526203156, 0.025769582018256187, 0.025710124522447586, 0.0256478451192379, 0.02555902861058712, 0.02552572265267372, 0.025503575801849365, 0.025484928861260414, 0.025580132380127907, 0.02551606483757496, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.055041730403900146, 0.047659244388341904, 0.04614138603210449, 0.04520892724394798, 0.043327346444129944, 0.04159754887223244, 0.04107276722788811, 0.04077531397342682, 0.040629513561725616, 0.0401555635035038, 0.04001215845346451, 0.040004484355449677, 0.03979240357875824, 0.039615169167518616, 0.039394933730363846, 0.03888684883713722, 0.0388321653008461, 0.038397166877985, 0.03821788728237152, 0.03815204277634621, 0.038138289004564285, 0.03799479827284813, 0.038066316395998, 0.037843190133571625, 0.037874553352594376, 0.03773576766252518, 0.03772558271884918, 0.0375678576529026, 0.037353359162807465, 0.037319451570510864]","[0.0037330854684114456, 0.0022536618635058403, 0.0017169247148558497, 0.0014237671857699752, 0.0012576670851558447, 0.0011339709162712097, 0.0010455244919285178, 0.0009773171041160822, 0.0009225958492606878, 0.0008854437037371099, 0.0008452164474874735, 0.0008143923478201032, 0.0007896865135990083, 0.0007626547594554722, 0.0007425669464282691, 0.0007221216801553965, 0.0007057022303342819, 0.000693824200425297, 0.0006707576103508472, 0.0006601742934435606, 0.0006437126430682838, 0.0006293143378570676, 0.0006181716453284025, 0.0006126560620032251, 0.0005963586154393852, 0.0005807478446513414, 0.000570462376344949, 0.000564039102755487, 0.0005510598421096802, 0.0005409427103586495]","[0.03379010036587715, 0.010267078876495361, 0.0069792382419109344, 0.005773767828941345, 0.00509949866682291, 0.004689362365752459, 0.004393841605633497, 0.004171834792941809, 0.0039788843132555485, 0.003848273539915681, 0.0037905192002654076, 0.003661943366751075, 0.0035797383170574903, 0.0035141189582645893, 0.0034152341540902853, 0.003419443964958191, 0.003312499960884452, 0.003263800870627165, 0.003262634389102459, 0.003198593854904175, 0.003159869462251663, 0.003124794689938426, 0.0030948782805353403, 0.003054734319448471, 0.0031113449949771166, 0.003021813463419676, 0.002981740515679121, 0.002990717999637127, 0.002988137537613511, None]"
