,Fully Connected (Shallow),Fully Connected (Deep),Convolutional,Hybrid
train_loss,"[0.05124329775571823, 0.03148344159126282, 0.02929135411977768, 0.028680788353085518, 0.028319191187620163, 0.028222346678376198, 0.028138743713498116, 0.028097471222281456, 0.028049450367689133, 0.028019104152917862, 0.02799280919134617, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.06621253490447998, 0.048807866871356964, 0.0451468825340271, 0.04274316877126694, 0.04200837016105652, 0.041482485830783844, 0.04097115620970726, 0.04018790274858475, 0.039822909981012344, 0.03932627663016319, 0.03904508426785469, 0.038825370371341705, 0.03864392265677452, 0.03850443288683891, 0.0383942611515522, 0.03830810263752937, 0.03824862837791443, 0.03817802667617798, 0.0381147526204586, 0.038058165460824966, 0.03798948600888252, 0.037893444299697876, 0.03784487023949623, 0.037603944540023804, 0.037382546812295914, 0.03733919933438301, 0.03725073114037514, 0.03711692988872528, 0.03703442960977554, 0.03696198761463165]","[0.0358114168047905, 0.0034782649017870426, 0.002500610426068306, 0.0020790528506040573, 0.001833861111663282, 0.0016560261137783527, 0.0015166831435635686, 0.001410788856446743, 0.0013279450358822942, 0.0012621682835742831, 0.0012078580912202597, 0.001162366708740592, 0.0011204782640561461, 0.0010881123598665, 0.0010571834864094853, 0.0010273972293362021, 0.0010036296444013715, 0.0009802371496334672, 0.0009583725477568805, 0.0009402370196767151, 0.000920914055313915, 0.0009037742856889963, 0.0008873072802089155, 0.000872921955306083, 0.000854328041896224, 0.0008376298355869949, 0.0008200707961805165, 0.0008027287549339235, 0.0007842135382816195, 0.0007700046407990158]","[0.06328615546226501, 0.018345236778259277, 0.009669450111687183, 0.0076860967092216015, 0.006701234728097916, 0.006117191631346941, 0.005706272553652525, 0.005437721963971853, 0.00518635893240571, 0.005002512596547604, 0.004856133833527565, 0.004721890203654766, 0.004608025308698416, 0.0045250821858644485, 0.004407074302434921, 0.004344847518950701, 0.004271374549716711, 0.004209235310554504, 0.00415892293676734, 0.004110557027161121, 0.0040502711199223995, 0.0040161204524338245, 0.003966351505368948, 0.003942648880183697, 0.003900377545505762, 0.0038834409788250923, 0.003835576120764017, 0.0038276768755167723, 0.0037804695311933756, 0.0037660531233996153]"
val_loss,"[0.03451225906610489, 0.029778091236948967, 0.02885541133582592, 0.028375325724482536, 0.028279228135943413, 0.028214983642101288, 0.0280425027012825, 0.02810642495751381, 0.02799096331000328, 0.028042221441864967, 0.028059814125299454, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.05174940451979637, 0.046680908650159836, 0.04335195943713188, 0.042264122515916824, 0.04169408231973648, 0.041198957711458206, 0.04043133929371834, 0.039990633726119995, 0.039365071803331375, 0.03920268267393112, 0.03885885700583458, 0.03868357092142105, 0.03851575776934624, 0.03839266300201416, 0.0383269339799881, 0.03824867308139801, 0.03825519233942032, 0.03812534734606743, 0.03810001537203789, 0.038081128150224686, 0.03793295472860336, 0.03791968151926994, 0.037830185145139694, 0.03740638494491577, 0.03746303170919418, 0.037306565791368484, 0.037141352891922, 0.03709842264652252, 0.03706474229693413, 0.036984365433454514]","[0.00437205983325839, 0.0028317896649241447, 0.0022256914526224136, 0.001932133687660098, 0.0017265338683500886, 0.0015735258348286152, 0.001483451691456139, 0.0013636595103889704, 0.0012850756756961346, 0.0012232257286086679, 0.0011891891481354833, 0.0011377839837223291, 0.001097676926292479, 0.0010636935476213694, 0.0010429281974211335, 0.0010126824490725994, 0.0009838612750172615, 0.0009659521165303886, 0.0009508768562227488, 0.0009217693586833775, 0.0009191607823595405, 0.0008911122567951679, 0.0008798502385616302, 0.0008555157692171633, 0.0008404040127061307, 0.0008225349010899663, 0.000804535171482712, 0.0007919976487755775, 0.000772796047385782, 0.0007550343871116638]","[0.033603884279727936, 0.011453392915427685, 0.008451161906123161, 0.00709487171843648, 0.006423299200832844, 0.0059616039507091045, 0.005686297547072172, 0.005407058633863926, 0.005234081298112869, 0.004985330626368523, 0.004903120920062065, 0.004715899471193552, 0.004661420360207558, 0.004665794316679239, 0.004468298051506281, 0.004425146616995335, 0.004303921014070511, 0.004529086872935295, 0.004290843848139048, 0.00416345801204443, 0.004174893721938133, 0.00409428495913744, 0.004082606174051762, 0.0039985510520637035, 0.004028887487947941, 0.003960051573812962, 0.003918984439224005, 0.003906979691237211, 0.0038773389533162117, 0.003976845182478428]"
